timestamp,date,time,mood,energy,sleep_hours,stress,tags,journal,sentiment_compound,photo_path
2025-10-27T08:15:00,2025-10-27,08:15:00,6,5,6.0,3,,Felt tired all morning but managed to study.,-0.34,
2025-10-28T08:18:00,2025-10-28,08:18:00,7,6,7.5,2,gym,Had a good workout and felt refreshed.,0.61,
2025-10-29T08:22:00,2025-10-29,08:22:00,5,4,5.5,4,,Work was stressful and I didn’t sleep enough.,-0.52,
2025-10-30T08:20:00,2025-10-30,08:20:00,8,7,8.0,2,coffee,Met friends for coffee and felt energetic.,0.64,
2025-10-31T08:19:00,2025-10-31,08:19:00,6,5,6.0,3,,"Average day, nothing special.",0.02,
2025-11-01T08:17:00,2025-11-01,08:17:00,7,6,7.0,3,gym,Worked out in the morning; felt better.,0.55,
2025-11-02T08:21:00,2025-11-02,08:21:00,4,4,5.0,5,,Felt anxious and tired throughout the day.,-0.48,
2025-11-03T08:25:00,2025-11-03,08:25:00,8,7,8.5,2,coffee,Good sleep helped me focus better.,0.69,
2025-11-04T08:23:00,2025-11-04,08:23:00,5,5,6.0,4,,"Long work day, exhausted.",-0.41,
2025-11-05T08:27:00,2025-11-05,08:27:00,7,6,7.0,2,gym,Workout and meditation improved mood.,0.57,
2025-11-06T08:16:00,2025-11-06,08:16:00,6,5,6.5,3,,A bit tired but okay overall.,0.1,
2025-11-07T08:24:00,2025-11-07,08:24:00,8,8,8.0,1,coffee,Great mood and very productive day.,0.77,
2025-11-08T08:30:00,2025-11-08,08:30:00,5,4,5.5,4,,"Too much screen time, eyes hurt.",-0.46,
2025-11-09T08:20:00,2025-11-09,08:20:00,7,7,7.5,2,gym,Good balance of work and rest today.,0.61,
2025-11-10T16:12:19,2025-11-10,16:12:19,10,10,8.799999999999994,1,gym,Best day,0.6369,
2025-11-10T16:12:53,2025-11-10,16:12:53,10,10,7.0,1,Work,great day,0.6249,
